,,Режиссер,Страна,Слоган,Маркетинг,Качество видео,Аудиодорожки,Директор фильма,Оператор,Премьера в мире,Художник,Сценарий,Премьера в Росcии,Релиз на Blu-ray,Монтаж,Сборы в США,Цифровой релиз,Зрители,Жанр,Релиз на DVD,Рейтинг MPAA,Продюсер,Композитор,Платформа,Время,Возраст,Год производства,Субтитры,Ре-релиз (РФ),Сборы в мире,Бюджет,Сборы в России,Название фильма
99,Null,Питер Джексон,"Новая Зеландия, США",«From the smallest beginnings come the greatest legends»,Null,Null,"Русский (МОСФИЛЬМ-МАСТЕР), Русский 5.1 (МОСФИЛЬМ-МАСТЕР), Английский, Английский 5.1",Null,Эндрю Лесни,"28 ноября 2012, ...","Дэн Хенна, Саймон Брайт, Брайан Мэсси, ...","Фрэн Уолш, Филиппа Бойенс, Питер Джексон, ...","19 декабря 2012, «Каро-Премьер»","11 апреля 2013, «CP Дистрибуция»",Джабез Олссен,$303 003 568,Null,37.9 млн,"фэнтези, приключения, боевик","11 апреля 2013, «CP Дистрибуция»",PG-13,"Кэролинн Каннингэм, Питер Джексон, Фрэн Уолш, ...",Говард Шор,Null,169 мин. / 02:49,6+,2012,"Русские, Перевод надписей, Английские",Null,+ $714 000 000 = $1 017 003 568,$180 000 000,$43 846 779,"['Хоббит: Нежданное путешествие (2012)', 'The Hobbit: An Unexpected Journey6+']"
100,Null,М. Найт Шьямалан,США,«Иногда дар – это проклятие»,$35 000 000,Null,"Русский, Английский",Null,Так Фудзимото,"2 августа 1999, ...","Ларри Фултон, Филип Мессина, Джоанна Джонстон, ...",М. Найт Шьямалан,"25 февраля 2000, «Каскад фильм»",Null,Эндрю Мондшейн,$293 506 292,Null,57.5 млн,"детектив, фэнтези, фантастика, триллер, драма","27 апреля 2000, «Columbia/Sony»",PG-13,"Кэтлин Кеннеди, Фрэнк Маршалл, Бэрри Мендел, ...",Джеймс Ньютон Ховард,Null,107 мин. / 01:47,12+,1999,Нет,Null,+ $379 300 000 = $672 806 292,$40 000 000,$900 000,"['Шестое чувство (1999)', 'The Sixth Sense12+']"
101,Null,Люк Бессон,"Франция, Великобритания",«It Mu5t Be Found»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Тьерри Арбогаст,"7 мая 1997, ...","Дэн Вейл, Ира Гилфорд, Рон Гресс, ...","Роберт Марк Кэмен, Люк Бессон","27 сентября 1997, «НТВ-Профит»","3 ноября 2010, «Кармен Видео»",Сильви Ландра,$63 820 180,Null,13.9 млн,"фантастика, боевик, комедия, мелодрама","1 марта 1998, «AMALGAMA»",PG-13,"Патрис Леду, Джон А. Амикарелла, Иэн Смит",Эрик Серра,Null,126 мин. / 02:06,16+,1997,"Русские, Английские",Null,+ $200 100 000 = $263 920 180,$90 000 000,Null,"['Пятый элемент (1997)', 'The Fifth Element16+']"
102,Null,Квентин Тарантино,"Германия, США","«Они мстят бодро, весело, со вкусом»",Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Роберт Ричардсон,"20 мая 2009, ...","Дэвид Уоско, Марко Биттнер Россер, Штефан О. Гесслер, ...",Квентин Тарантино,"20 августа 2009, «UPI»","8 декабря 2009, «Юниверсал Пикчерс Рус»",Салли Менке,$120 540 719,Null,16.1 млн,"боевик, драма, комедия, военный","8 декабря 2009, «Юниверсал Пикчерс Рус»",R,"Лоуренс Бендер, Уильям Пол Кларк, Кристоф Фиссер, ...",—,Null,153 мин. / 02:33,16+,2009,"Иностранная речь, Русские",Null,+ $200 914 970 = $321 455 689,$70 000 000,$6 002 703,"['Бесславные ублюдки (2009)', 'Inglourious Basterds16+']"
103,Null,Хаяо Миядзаки,Япония,—,Null,Null,"Русский, Японский",Null,Хисао Сираи,"16 апреля 1988, ...",Кадзуо Ога,Хаяо Миядзаки,"20 марта 2008, «RUSCICO»",Null,Такэси Сэяма,$2 250 213,Null,118.4 тыс,"аниме, мультфильм, фэнтези, приключения, семейный","28 мая 2009, «Ruscico»",G,"Тору Хара, Эико Танака, Ясуёси Токума",Дзё Хисаиси,Null,86 мин. / 01:26,0+,1988,"Русские, Английские","22 октября 2020, «Пионер»",+ $39 000 000 = $41 250 213,$3 700 000,$10 689,"['Мой сосед Тоторо (1988)', 'Tonari no Totoro0+']"
104,Null,"Тед Берман, Ричард Рич, Арт Стивенс, ...",США,«A New Captivating Animated Adventure!»,Null,Null,"Русский, Английский, Английский 5.1",Null,Null,"10 июля 1981, ...",Дон Гриффит,"Дэниэл П. Мэнникс, Ларри Клеммонс, Тед Берман, ...",Null,"8 мая 2012, «Уолт Дисней Компани СНГ»","Джеймс Кофорд, Джеймс Мелтон",$63 456 988,Null,20.1 млн,"мультфильм, драма, приключения, семейный","3 августа 2009, «CP-Digital»",G,"Рон Миллер, Вольфганг Райтерман, Арт Стивенс",Бадди Бэйкер,Null,83 мин. / 01:23,0+,1981,"Русские, Английские",Null,Null,$12 000 000,Null,"['Лис и пёс (1981)', 'The Fox and the Hound0+']"
105,Null,Саймон Кёртис,США,«Meet the Dog Who Will Show the World How to Be Human»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Росс Эмери,"7 августа 2019, ...","Брент Томас, Шеннон Гроувер, Моника Прудом, ...","Марк Бомбэк, Гарт Стейн",Null,Null,Адам Рехт,$26 395 642,"1 ноября 2019, «Двадцатый Век Фокс СНГ»",Null,"драма, мелодрама, комедия, спорт, семейный",Null,PG,"Джоанни Бурстейн, Патрик Демпси, Джеймс С. Франс, ...","Фолькер Бертельман, Дастин О’Хэллоран",Null,109 мин. / 01:49,12+,2019,"Русские, Английские",Null,+ $7 371 145 = $33 766 787,$18 000 000,Null,"['Невероятный мир глазами Энцо (2019)', 'The Art of Racing in the Rain12+']"
106,Null,Мартин Скорсезе,США,«Earn. Spend. Party»,Null,Null,"Русский, Русский 5.1, Русский (Кубик в Кубе 18+), Английский, Английский 5.1",Null,Родриго Прието,"9 декабря 2013, ...","Боб Шоу, Крис Шрайвер, Dave Asling, ...","Теренс Уинтер, Джордан Белфорт","6 февраля 2014, «West»","4 декабря 2014, «West Video»",Тельма Скунмейкер,$116 900 694,Null,3 млн,"драма, криминал, биография, комедия","4 декабря 2014, «West Video»",R,"Риза Азиз, Леонардо ДиКаприо, Мартин Скорсезе, ...",—,Null,180 мин. / 03:00,18+,2013,"Русские, Английские","19 мая 2022, «Планета Информ»",+ $275 100 000 = $392 000 694,$100 000 000,$13 796 916,"['Волк с Уолл-стрит (2013)', 'The Wolf of Wall Street18+']"
107,Null,Виктор Трегубович,СССР,—,Null,Null,Русский,Владимир Беспрозванный,Евгений Мезенцев,"23 февраля 1969, ...","Семен Малкин, Георгий Кропачев, Сергей Головин","Виктор Трегубович, Виктор Курочкин",Null,Null,Е. Садовская,Null,Null,Null,"военный, драма","13 апреля 2010, «Lizard Cinema Trade»",Null,Null,Георгий Портнов,Null,90 мин. / 01:30,12+,1968,Нет,Null,Null,Null,Null,"['На войне как на войне (1968)', '12+']"
108,Null,"Виктор Флеминг, Джордж Кьюкор, Сэм Вуд",США,«The most magnificent picture ever!»,Null,Null,Null,Null,"Эрнест Хэллер, Ли Гармс","15 декабря 1939, ...","Уильям Кэмерон Мензиес, Лайл Р. Вилер, Уолтер Планкетт, ...","Сидни Ховард, Оливер Х.П. Гаррет, Бен Хект, ...",Null,"1 декабря 2009, «Юниверсал Пикчерс Рус»",Null,$189 523 031,Null,35 млн,"мелодрама, история, драма, военный","7 августа 2002, «Мост-Видео»",G,Дэвид О. Селзник,Макс Штайнер,Null,222 мин. / 03:42,12+,1939,Null,Null,+ $201 500 000 = $391 023 031,$3 977 000,Null,"['Унесённые ветром (1939)', 'Gone with the Wind12+']"
109,Null,Джеймс Мэнголд,США,«They took the American dream for a ride»,Null,Null,"Русский (CPI Films), Русский 5.1 (CPI Films), Английский, Английский 5.1",Null,Фидон Папамайкл,"30 августа 2019, ...","Франсуа Одуи, Густаф Аспегрен, Джордан Феррер, ...","Джез Баттеруорт, Джон-Генри Баттеруорт, Джейсон Келлер","14 ноября 2019, «Двадцатый Век Фокс СНГ»",Null,"Эндрю Баклэнд, Майкл МакКаскер, Дирк Уэстервелт",$117 624 357,"14 февраля 2020, «Двадцатый Век Фокс СНГ»",Null,"биография, спорт, драма, боевик",Null,PG-13,"Джон Бернард, Дэни Бернфелд, Питер Чернин, ...","Марко Белтрами, Бак Сандерс",Null,152 мин. / 02:32,16+,2019,"Русские, Английские",Null,+ $107 883 853 = $225 508 210,$97 600 000,$11 535 765,"['Ford против Ferrari (2019)', 'Ford v Ferrari16+']"
110,Null,Питер Уир,США,«He was their inspiration. He made their lives extraordinary»,Null,Null,Null,Null,Джон Сил,"2 июня 1989, ...","Венди Стайтс, Сэнди Венециано, Nancy Konrardy, ...",Том Шульман,Null,Null,Уилльям М. Андерсон,$95 860 116,Null,24.1 млн,драма,"21 мая 2009, «Уолт Дисней Компани СНГ»",PG,"Стивен Хафт, Пол Юнгер Уитт, Тони Томас, ...",Морис Жарр,Null,128 мин. / 02:08,12+,1989,Null,Null,+ $140 000 000 = $235 860 116,$16 400 000,Null,"['Общество мертвых поэтов (1989)', 'Dead Poets Society12+']"
111,Null,Рон Ховард,США,"«If reality has ganged up on you, nothing is safe anymore...»",$30 000 000,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Роджер Дикинс,"13 декабря 2001, ...","Винн Томас, Роберт Гуерра, Рита Райек, ...","Акива Голдсман, Сильвия Насар","3 июля 2002, «Ист-Вест»",Null,"Дэниэл П. Хэнли, Майк Хилл",$170 742 341,Null,30.2 млн,"драма, биография, мелодрама","10 декабря 2002, «Premier Digital»",PG-13,"Брайан Грейзер, Рон Ховард, Тодд Халлоуэлл, ...",Джеймс Хорнер,Null,135 мин. / 02:15,12+,2001,Русские,Null,+ $142 800 000 = $313 542 341,$58 000 000,$762 834,"['Игры разума (2001)', 'A Beautiful Mind12+']"
